City,Category,Place Name,Description
Madurai,Forts,Thirumalai Nayakkar Mahal,"A 17th-century palace built by King Thirumalai Nayak, known for its Indo-Saracenic architecture."
Madurai,Monuments,Gandhi Memorial Museum,A museum showcasing artifacts related to Mahatma Gandhi's life and Indian independence movement.
Madurai,Hills & Mountains,Samanar Hills,"Rock-cut caves with Jain inscriptions, offering a serene and historic atmosphere."
Madurai,Beaches,Vaigai River Bank,A scenic riverbank ideal for relaxation and enjoying the view of the Vaigai River.
Madurai,Heritage Sites,Meenakshi Temple,"A historic temple dedicated to Goddess Meenakshi, famous for its Dravidian architecture."
Madurai,Waterfalls,Kutladampatti Falls,"A seasonal waterfall located in a lush green forest, ideal for a short trek."
Madurai,Temples,Alagar Kovil,"A temple dedicated to Lord Vishnu, surrounded by lush green hills and a sacred tank."
Thanjavur,Forts,Thanjavur Palace,"A grand palace built by the Nayak rulers, showcasing Dravidian and Maratha architecture."
Thanjavur,Monuments,Great Living Chola Temples,A UNESCO World Heritage site featuring the Brihadeeswara Temple and other Chola-era structures.
Thanjavur,Hills & Mountains,Punnainallur Mariamman Temple,"A famous temple dedicated to Goddess Mariamman, known for its religious significance."
Thanjavur,Beaches,Manora Fort,"A historical fort built by the Maratha ruler Serfoji II, offering a panoramic view of the sea."
Thanjavur,Heritage Sites,Brihadeeswara Temple,"A UNESCO World Heritage temple dedicated to Lord Shiva, featuring exquisite carvings."
Thanjavur,Waterfalls,Grand Anicut,"An ancient dam built by the Cholas, still serving as a major irrigation source."
Thanjavur,Temples,Thiruvaiyaru,A sacred town known for its music and association with Saint Thyagaraja.
Kanchipuram,Forts,Kailasanathar Temple,A Pallava-era temple known for its intricate carvings and rock-cut architecture.
Kanchipuram,Monuments,Ekambareswarar Temple,"A massive Shiva temple with a towering gopuram, one of the largest in Tamil Nadu."
Kanchipuram,Hills & Mountains,Kanchipuram Fort,"A historic fort from the Vijayanagara period, known for its strategic significance."
Kanchipuram,Beaches,Ulagalantha Perumal Temple,"A temple dedicated to Lord Vishnu in his Trivikrama form, displaying massive deity statues."
Kanchipuram,Heritage Sites,Vedanthangal Bird Sanctuary,"A bird sanctuary home to migratory birds, offering excellent bird-watching opportunities."
Kanchipuram,Waterfalls,Covelong Beach,A picturesque beach known for its clean sands and water sports activities.
Kanchipuram,Temples,Varadaraja Perumal Temple,"A temple dedicated to Lord Vishnu, showcasing impressive Dravidian architecture."
Rameshwaram,Forts,Pamban Bridge,"A historic railway bridge connecting Rameshwaram to the mainland, offering stunning views."
Rameshwaram,Monuments,Ramanathaswamy Temple,"A temple dedicated to Lord Shiva, known for its long corridors and sacred water tanks."
Rameshwaram,Hills & Mountains,Agnitheertham,A revered pilgrimage site where devotees take a holy dip in the sea.
Rameshwaram,Beaches,Dhanushkodi Beach,"A ghost town with ruins from the 1964 cyclone, offering an eerie yet fascinating visit."
Rameshwaram,Heritage Sites,Villoondi Tirtham,"A freshwater spring located near the sea, considered sacred by devotees."
Rameshwaram,Waterfalls,Kothandaramaswamy Temple,"A temple associated with the Ramayana, located near Dhanushkodi."
Rameshwaram,Temples,Jatayu Tirtham,"A sacred site linked to the Ramayana, associated with the mythical bird Jatayu."
Chennai,Forts,Fort St. George,"A 17th-century fort built by the British, now housing a museum and Tamil Nadu's legislative assembly."
Chennai,Monuments,Marina Beach,"India's longest urban beach, popular for its golden sands and vibrant atmosphere."
Chennai,Hills & Mountains,Kapaleeshwarar Temple,"A historic temple dedicated to Lord Shiva, known for its beautiful Dravidian-style architecture."
Chennai,Beaches,Santhome Cathedral,"A cathedral built over the tomb of St. Thomas, one of Jesus' apostles."
Chennai,Heritage Sites,Guindy National Park,"A national park offering a green escape in the heart of Chennai, home to many species."
Chennai,Waterfalls,Valluvar Kottam,"A monument dedicated to the Tamil poet Thiruvalluvar, shaped like a temple chariot."
Chennai,Temples,Elliots Beach,A clean and serene beach known for its peaceful ambiance and food stalls.
Coimbatore,Forts,Dhyanalinga Temple,"A meditation and spiritual center founded by Sadhguru, offering yoga and wellness programs."
Coimbatore,Monuments,Marudhamalai Temple,"A hilltop temple dedicated to Lord Murugan, offering panoramic views of Coimbatore."
Coimbatore,Hills & Mountains,Perur Pateeswarar Temple,"An ancient temple dedicated to Lord Shiva, known for its detailed carvings."
Coimbatore,Beaches,Velliangiri Hills,"A sacred hill range known as the 'Kailash of the South,' popular among trekkers."
Coimbatore,Heritage Sites,Kovai Kutralam Falls,"A scenic waterfall surrounded by thick forests, perfect for nature lovers."
Coimbatore,Waterfalls,Aliyar Dam,A picturesque dam and reservoir offering boating and picnic spots.
Coimbatore,Temples,Siruvani Waterfalls,"A beautiful waterfall located in the Western Ghats, known for its fresh water supply."
Salem,General Information,Salem District,"Salem is known as the Mango City of Tamil Nadu, home to historical sites and industries."
Salem,Feature,Salem Industry,"Salem is famous for its silver anklets, textile, automotive, poultry, and sago industries."
Salem,Transportation,Salem Transportation,"Salem is well-connected by air, rail, and road with major highways NH7, NH47, and NH68."
Salem,Places of Interest,Kandhasamy Kovil,"A famous temple located 22 km from Salem, known for its religious significance."
Salem,Places of Interest,Kumaragiri Murugan Temple,"A temple dedicated to Lord Murugan, located on Udayapatti Bypass Road."
Salem,Places of Interest,Lingam (1008) Temple,"A temple featuring 1008 Lingams, maintained by Vinayaga Mission."
Salem,Places of Interest,Kottai Mariamman Temple,"A historic temple built during the Chera period, located in Fort Salem."
Salem,Places of Interest,Kandhashramam,"A religious site located 5 km from Salem, constructed by a spiritual leader."
Salem,Places of Interest,Oothumalai – Sathya Narayana Sithar Peedam,"A temple dedicated to Sri Sathya Narayana, located in Seelanaikanpatti."
Salem,Places of Interest,Kurumbapatti Zoological Park,"A small zoological park with natural beauty, located 12 km from Salem Bus Stand."
Salem,Places of Interest,Mettur Dam,A massive dam offering scenic beauty and a park in Mettur.
Salem,Places of Interest,Paravasam Ulagam,"An amusement park with 60 varieties of games, located near Mallur."
Salem,Places of Interest,Siddhar Temple,"A temple dedicated to Kalangi Siddhar, located on Kanja Malai."
Salem,Places of Interest,Alagirinathar Temple,"A famous temple known as 'Kottai Perumal Koil', located in the heart of Salem."
Salem,Places of Interest,Sri Suguvaneshwara Temple,An ancient temple near Old Salem Bus Stand with historical monuments.
Salem,Places of Interest,Utthama Chozhapuram,"A temple dedicated to Karapura Nathar, located in Thirumanimuthu Aru."
Salem,Places of Interest,Thanthodreeswarar Temple,"A temple in Belur, known for its famous sculptures."
Salem,Places of Interest,Sankagiri Fort,"A historical fort built by the Vijayanagar Empire, an important military base."
Salem,Places of Interest,Dheeran Chinnamalai Pillar Memorial,A memorial pillar dedicated to freedom fighter Dheeran Chinnamalai.
Salem,Places of Interest,Appa Paithiyam Swamy Temple,"A temple built in memory of Appa Paithiyam Swamy, near Salem Railway Station."
Salem,Events & Festivals,Kottai Mariamman Festival,"A temple festival celebrated in July-August, ending with a fire-walking ceremony."
Salem,Events & Festivals,Malayali Pilgrim Festival,A pilgrimage festival held in May at the Servarayan Kaveri Amman Temple.
Salem,Events & Festivals,Adiperukku Festival,A festival celebrated in Mettur every August.
Salem,Events & Festivals,Yercaud Summer Festival,"A summer festival held in May, featuring flower shows, boat races, and cultural programs."
Salem,Tourist Destination,Yercaud,"A hill station in the Shevaroy Hills, known as the 'Poor Man’s Ooty'."
Salem,Tourist Destination,Anna Park,"A park next to Yercaud Lake, hosting an annual flower show."
Salem,Tourist Destination,Bear’s Cave,A cave believed to be a part of an ancient pathway under the Shevaroy Hills.
Salem,Tourist Destination,Horticultural Farm,A farm selling plant saplings at affordable rates.
Salem,Tourist Destination,Botanical Survey of India,A well-maintained botanical garden by the Botanical Survey of India.
Salem,Tourist Destination,Killiyur Falls,"A scenic waterfall, best visited after the monsoon season."
Salem,Tourist Destination,Lady’s / Gent’s & Children’s Seat,A viewpoint offering breathtaking sights of the hills.
Salem,Tourist Destination,Shevarayan Temple,"A famous temple located inside a cave, dedicated to Lord Perumal."
Salem,Tourist Destination,The Big Lake (Boating),"A natural lake in Yercaud, surrounded by a Deer Park and leisure area."
Salem,Tourist Destination,Pagoda Point,A scenic viewpoint offering panoramic views of the surrounding region.
Salem,Tourist Destination,Sri Raja Rajeswari Temple,"A temple dedicated to Sri Raja Rajeswari, believed to bring wealth and prosperity."
Salem,Tourist Destination,Silk Farm & Rose Garden,A farm showcasing silk production and a beautiful rose garden.
Salem,Tourist Destination,Tourist Office,The official tourist office providing information and assistance to visitors.
